Time(s) Residual_Strain
2.09241848e-02 1.55151027e-25
2.09641928e-02 1.52994177e-25
2.10042008e-02 1.49956635e-25
2.10442088e-02 1.46052184e-25
2.10842168e-02 1.41299603e-25
2.11242248e-02 1.35722581e-25
2.11642328e-02 1.29349601e-25
2.12042408e-02 1.22213799e-25
2.12442488e-02 1.14352788e-25
2.12842569e-02 1.05808468e-25
2.13242649e-02 9.66268023e-26
2.13642729e-02 8.68575691e-26
2.14042809e-02 7.65540964e-26
2.14442889e-02 6.57729711e-26
2.14842969e-02 5.45737293e-26
2.15243049e-02 4.30185289e-26
2.15643129e-02 3.11718062e-26
2.16043209e-02 1.90999170e-26
2.16443289e-02 6.87076698e-27
2.16843369e-02 -5.44656988e-27
2.17243449e-02 -1.77822399e-26
2.17643529e-02 -3.00660051e-26
2.18043609e-02 -4.22276414e-26
2.18443689e-02 -5.41973396e-26
2.18843769e-02 -6.59061046e-26
2.19243849e-02 -7.72861521e-26
2.19643929e-02 -8.82712995e-26
2.20044009e-02 -9.87973499e-26
2.20444089e-02 -1.08802466e-25
2.20844169e-02 -1.18227531e-25
2.21244249e-02 -1.27016499e-25
2.21644329e-02 -1.35116723e-25
2.22044409e-02 -1.42479273e-25
2.22444489e-02 -1.49059225e-25
2.22844569e-02 -1.54815937e-25
2.23244649e-02 -1.59713298e-25
2.23644729e-02 -1.63719947e-25
2.24044809e-02 -1.66809476e-25
2.24444889e-02 -1.68960600e-25
2.24844969e-02 -1.70157294e-25
2.25245049e-02 -1.70388912e-25
2.25645129e-02 -1.69650265e-25
2.26045209e-02 -1.67941674e-25
2.26445289e-02 -1.65268988e-25
2.26845369e-02 -1.61643577e-25
2.27245449e-02 -1.57082287e-25
2.27645529e-02 -1.51607363e-25
2.28045609e-02 -1.45246350e-25
2.28445689e-02 -1.38031952e-25
2.28845769e-02 -1.30001870e-25
2.29245849e-02 -1.21198603e-25
2.29645929e-02 -1.11669230e-25
2.30046009e-02 -1.01465157e-25
2.30446089e-02 -9.06418395e-26
2.30846169e-02 -7.92584872e-26
2.31246249e-02 -6.73777386e-26
2.31646329e-02 -5.50653184e-26
2.32046409e-02 -4.23896750e-26
2.32446489e-02 -2.94216020e-26
2.32846569e-02 -1.62338433e-26
2.33246649e-02 -2.90068660e-27
2.33646729e-02 1.05024538e-26
2.34046809e-02 2.38994623e-26
2.34446889e-02 3.72139532e-26
2.34846969e-02 5.03697050e-26
2.35247049e-02 6.32910953e-26
2.35647129e-02 7.59035343e-26
2.36047209e-02 8.81338945e-26
2.36447289e-02 9.99109326e-26
2.36847369e-02 1.11165704e-25
2.37247449e-02 1.21831964e-25
2.37647530e-02 1.31846558e-25
2.38047610e-02 1.41149791e-25
2.38447690e-02 1.49685784e-25
2.38847770e-02 1.57402808e-25
2.39247850e-02 1.64253593e-25
2.39647930e-02 1.70195618e-25
2.40048010e-02 1.75191372e-25
2.40448090e-02 1.79208586e-25
2.40848170e-02 1.82220440e-25
2.41248250e-02 1.84205736e-25
2.41648330e-02 1.85149043e-25
2.42048410e-02 1.85040807e-25
2.42448490e-02 1.83877430e-25
2.42848570e-02 1.81661313e-25
2.43248650e-02 1.78400867e-25
2.43648730e-02 1.74110489e-25
2.44048810e-02 1.68810506e-25
2.44448890e-02 1.62527080e-25
2.44848970e-02 1.55292082e-25
2.45249050e-02 1.47142937e-25
2.45649130e-02 1.38122428e-25
2.46049210e-02 1.28278479e-25
2.46449290e-02 1.17663897e-25
2.46849370e-02 1.06336095e-25
2.47249450e-02 9.43567814e-26
2.47649530e-02 8.17916236e-26
2.48049610e-02 6.87098933e-26
2.48449690e-02 5.51840837e-26
2.48849770e-02 4.12895098e-26
2.49249850e-02 2.71038906e-26
2.49649930e-02 1.27069154e-26
2.50050010e-02 -1.82020225e-27
2.50450090e-02 -1.63951815e-26
2.50850170e-02 -3.09351389e-26
2.51250250e-02 -4.53570582e-26
2.51650330e-02 -5.95782632e-26
2.52050410e-02 -7.35168903e-26
2.52450490e-02 -8.70923585e-26
2.52850570e-02 -1.00225834e-25
2.53250650e-02 -1.12840685e-25
2.53650730e-02 -1.24862930e-25
2.54050810e-02 -1.36221668e-25
2.54450890e-02 -1.46849497e-25
2.54850970e-02 -1.56682908e-25
2.55251050e-02 -1.65662668e-25
2.55651130e-02 -1.73734172e-25
2.56051210e-02 -1.80847772e-25
2.56451290e-02 -1.86959081e-25
2.56851370e-02 -1.92029248e-25
2.57251450e-02 -1.96025199e-25
2.57651530e-02 -1.98919853e-25
2.58051610e-02 -2.00692294e-25
2.58451690e-02 -2.01327922e-25
2.58851770e-02 -2.00818557e-25
2.59251850e-02 -1.99162511e-25
2.59651930e-02 -1.96364627e-25
2.60052010e-02 -1.92436275e-25
2.60452090e-02 -1.87395314e-25
2.60852170e-02 -1.81266017e-25
2.61252250e-02 -1.74078958e-25
2.61652330e-02 -1.65870860e-25
2.62052410e-02 -1.56684416e-25
2.62452490e-02 -1.46568066e-25
2.62852571e-02 -1.35575743e-25
2.63252651e-02 -1.23766590e-25
2.63652731e-02 -1.11204644e-25
2.64052811e-02 -9.79584885e-26
2.64452891e-02 -8.41008812e-26
2.64852971e-02 -6.97083577e-26
2.65253051e-02 -5.48608091e-26
2.65653131e-02 -3.96410403e-26
2.66053211e-02 -2.41343098e-26
2.66453291e-02 -8.42785328e-27
2.66853371e-02 7.38960507e-27
2.67253451e-02 2.32283529e-26
2.67653531e-02 3.89981969e-26
2.68053611e-02 5.46089749e-26
2.68453691e-02 6.99710698e-26
2.68853771e-02 8.49959229e-26
2.69253851e-02 9.95965426e-26
2.69653931e-02 1.13688007e-25
2.70054011e-02 1.27187955e-25
2.70454091e-02 1.40017067e-25
2.70854171e-02 1.52099531e-25
